Name,Team,IP,Loc+ FA,Loc+ SI,Loc+ FC,Loc+ FS,Loc+ SL,Loc+ CU,Loc+ CH,Loc+ KC,Loc+ FO,Stuff+,Location+,Pitching+,NameASCII,PlayerId,MLBAMID
"Kumar Rocker","TEX",11.2,116.89173913043477,114.01891891891891,,,92.88819277108433,97.55000000000001,60.52,,,97.01327188940093,106.23198156682028,102.36211981566824,"Kumar Rocker",31843,677958
"Steven Matz","STL",149.1,,108.73191716766867,,,94.77623529411764,103.27706355003649,108.58445390070924,,,97.25699917654264,107.60439988090802,102.31816321746955,"Steven Matz",13361,571927
"Will Vest","DET",118.2,114.64848715509042,108.84776470588234,,,100.19125718005043,,104.04616113744078,,,95.20169589117958,109.13191536166724,102.20141004849987,"Will Vest",19769,676684
"Luis Gil","NYY",151.2,89.78671285604312,,,,89.34171014492753,,98.9458543833581,,,105.62817293233083,91.9608646616541,102.18914285714288,"Luis Gil",21052,661563
"Cole Sulser","- - -",21.2,113.68802259887005,,116.38879999999999,,93.34195121951221,,88.9361111111111,,,94.37069269825919,104.80610452933593,102.14338853965182,"Cole Sulser",15256,642121
"Daulton Jefferies","- - -",14.2,113.02833333333335,107.35085714285714,122.44487804878048,,100.21101449275362,,98.56952380952382,,,93.96106761565838,107.10448398576513,102.13658362989324,"Daulton Jefferies",19345,641726
"Garrett Cleavinger","TBR",72,79.74303405572755,81.3025974025974,99.06561151079134,,96.23268609412828,,,,,112.76326455107065,90.81956951713511,102.13439304320806,"Garrett Cleavinger",17897,664076
"Ryne Nelson","ARI",294.2,103.57284843869004,,110.92073684210527,,105.85042390105745,96.79323076923076,94.52228675136118,,,100.23806992888575,103.53161158220729,102.05835174567416,"Ryne Nelson",26253,669194
"Gavin Stone","LAD",171.1,92.15144525547447,104.50826241134754,102.17420289855072,,114.92682051282047,104.17263321385902,101.96936842105264,,,97.91592149216027,101.66154798116345,102.04479313587542,"Gavin Stone",27792,694813
"Austin Kitchen","MIA",7,97.58727272727273,118.74074074074075,,,112.28277777777778,117.18689075630252,83.63499999999999,,,91.401080913378,110.33854554480018,102.02881236038719,"Austin Kitchen",27910,685116
"JT Chargois","- - -",78.2,85.52419354838713,107.89182098765431,,,95.27050000000001,,97.58,,,99.6898149981707,101.81479114058448,102.02553741611469,"JT Chargois",13767,608638
"Jordan Wicks","CHC",80.2,107.86558394160582,102.86150442477876,95.60724637681159,,78.27703899416909,80.62376237623762,107.09608142493639,,,99.33024235887794,101.64787215872052,102.00160550309275,"Jordan Wicks",30094,696136
"Aaron Civale","- - -",283.1,105.37443579766537,94.9007443682664,102.12443069306931,97.55977272727273,105.13298561151078,96.04871690024221,,,,107.00623859968175,99.93837784801316,101.9934022013614,"Aaron Civale",19479,650644
"Patrick Sandoval","LAA",224.1,99.84070953436807,96.79371534195933,,,99.52156311169982,96.014182879402,99.23630996309963,,,101.34716462121933,99.00405026031541,101.96073341086596,"Patrick Sandoval",19447,663776
"Michael Fulmer","CHC",57,103.40404411764708,95.3024761904762,94.8116746411483,,85.99015501001261,,98.2558904109589,,,104.249140389016,95.24702844393592,101.86918764302064,"Michael Fulmer",13218,605242
"Tom Cosgrove","SDP",66,98.98525179856114,93.43638989169673,,,99.53883720930232,,17.040000000000003,,,111.76653014499794,97.55610532504181,101.85588133513089,"Tom Cosgrove",23443,676680
"Gavin Williams","CLE",158,104.42261046906864,,108.67634146341464,,101.01201735357918,101.04041706924316,103.50811346548187,,,98.71687336571476,103.39076998097688,101.82023064292031,"Gavin Williams",30122,668909
"Daniel Hudson","LAD",66,104.59762711864404,83.14490566037736,,,99.21125577919956,,97.0342105263158,,,100.98765569143933,103.09015428033864,101.81754092191915,"Daniel Hudson",7146,543339
"Jack Flaherty","- - -",306.1,98.34857526881719,73.78793852676205,104.92018257892735,,106.84697347233097,,81.08333333333333,109.63852611940298,,98.06678220766284,102.2933711827255,101.81229060619177,"Jack Flaherty",17479,656427
"Zack Littell","- - -",246.1,113.54311203319502,101.80220000000001,,107.37776173285197,112.50384791255641,,,,,91.070845530014,110.15331765134168,101.76036792133446,"Zack Littell",15823,641793
"Gus Varland","- - -",46.2,102.96552808988763,93.776,,,104.80118309859155,,76.61255813953488,,,99.42900994516917,103.45017626747232,101.73012416718021,"Gus Varland",24737,681402
"Trevor Kelley","TBR",15.1,,101.75708333333334,,,93.32256,,101.13333333333333,,,106.66809452706829,97.98900019342011,101.69117769850325,"Trevor Kelley",18454,665001
